% pp non-regulatory
% met non_regulatory
% pd regulatory
% methylation non-regulatory
% phosphorylation non-regulatory
% dephosphorylation non-regulatory
% demethylation non-regulatory
% srna non-regulatory
% expression non-regulatory
% activation non-regulatory
% ubiquination non-regulatory
% glycosylation non-regulatory
% inhibition non-regulatory
% sigma non-regulatory
YBR143C,YDR500C,pp,undirected,0.955
YLR264W,YDR418W,pp,undirected,0.943
YJR094W-A,YLR344W,pp,undirected,0.943
YPR043W,YMR242C,pp,undirected,0.943
YMR288W,YBR055C,pp,undirected,0.985
YBR031W,YIL148W,pp,undirected,0.943
YML063W,YLR333C,pp,undirected,0.943
YDR212W,YJL008C,pp,undirected,0.985
YNL287W,YHR098C,pp,undirected,0.956
YMR201C,YNL312W,pp,undirected,0.942
YNL302C,YBL072C,pp,undirected,0.943
YIL075C,YOR157C,pp,undirected,0.985
YDL191W,YOR312C,pp,undirected,0.943
YDR097C,YBR088C,pp,undirected,0.985
YOR293W,YLR029C,pp,undirected,0.943
YOL038W,YKL145W,pp,undirected,0.985
YBR135W,YBR160W,pp,undirected,0.989
YLR441C,YFR031C-A,pp,undirected,0.943
YMR213W,YLR323C,pp,undirected,0.979
YGL135W,YMR142C,pp,undirected,0.943
YDL081C,YIL018W,pp,undirected,0.955
YDL208W,YHR089C,pp,undirected,0.976
YDR382W,YPR102C,pp,undirected,0.943
YLR264W,YPL090C,pp,undirected,0.943
YNL230C,YPL046C,pp,undirected,0.941
YNL096C,YOL127W,pp,undirected,0.955
YLR272C,YBL097W,pp,undirected,0.985
YOR312C,YLR344W,pp,undirected,0.943
YAL035W,YKR057W,pp,undirected,0.955
YDL153C,YEL026W,pp,undirected,0.967
YMR146C,YJL191W,pp,undirected,0.955
YKR057W,YLR406C,pp,undirected,0.943
YLR367W,YMR143W,pp,undirected,0.943
YFL034C-A,YFR032C-A,pp,undirected,0.955
YJL189W,YIL148W,pp,undirected,0.955
YPL198W,YHL033C,pp,undirected,0.943
YGL147C,YEL054C,pp,undirected,0.943
YHL015W,YKL156W,pp,undirected,0.955
YGR085C,YML026C,pp,undirected,0.943
YNR017W,YGR181W,pp,undirected,0.962
YHR039C-A,YOR332W,pp,undirected,0.983
YPL259C,YBL037W,pp,undirected,0.95
YMR121C,YBR084C-A,pp,undirected,0.943
YML094W,YGR078C,pp,undirected,0.976
YML026C,YGL076C,pp,undirected,0.943
YDR450W,YLR048W,pp,undirected,0.943
YGL103W,YOR293W,pp,undirected,0.955
YLR333C,YDR382W,pp,undirected,0.943
YFR004W,YOR117W,pp,undirected,0.985
YPR094W,YIR009W,pp,undirected,0.985
YLR061W,YBL092W,pp,undirected,0.955
YOR308C,YER146W,pp,undirected,0.985
YOL127W,YER165W,pp,undirected,0.94
YOR151C,YGR186W,pp,undirected,0.941
YGL123W,YEL026W,pp,undirected,0.963
YCL054W,YGR103W,pp,undirected,0.981
YGL058W,YKL010C,pp,undirected,0.963
YDR172W,YLR333C,pp,undirected,0.955
YOR039W,YGL207W,pp,undirected,0.968
YBR060C,YIL150C,pp,undirected,0.985
YOL121C,YER102W,pp,undirected,0.943
YBL092W,YOR182C,pp,undirected,0.955
YNL302C,YGL123W,pp,undirected,0.955
YOL039W,YGL135W,pp,undirected,0.943
YDL075W,YPL143W,pp,undirected,0.943
YJL136C,YDR025W,pp,undirected,0.943
YDL076C,YOL004W,pp,undirected,0.933
YPL198W,YGL189C,pp,undirected,0.943
YHL015W,YLR344W,pp,undirected,0.955
YML025C,YLR439W,pp,undirected,0.949
YDR311W,YDL108W,pp,undirected,0.985
YJR063W,YPR110C,pp,undirected,0.963
YBL072C,YLR367W,pp,undirected,0.943
YLR048W,YGL076C,pp,undirected,0.943
YFL034C-A,YMR143W,pp,undirected,0.943
YER056C-A,YDR418W,pp,undirected,0.943
YLR009W,YMR049C,pp,undirected,0.937
YOR063W,YDR064W,pp,undirected,0.985
YGL201C,YLL004W,pp,undirected,0.965
YPL090C,YPL217C,pp,undirected,0.948
YPL235W,YHR034C,pp,undirected,0.951
YGR005C,YML010W,pp,undirected,0.975
YDR025W,YNL096C,pp,undirected,0.943
YLR441C,YLR185W,pp,undirected,0.943
YPR103W,YPR108W,pp,undirected,0.985
YGR091W,YGR074W,pp,undirected,0.985
YLR061W,YGL147C,pp,undirected,0.943
YLR264W,YOR096W,pp,undirected,0.943
YFR032C-A,YOL040C,pp,undirected,0.985
YOR224C,YPR187W,pp,undirected,0.985
YBR181C,YLR367W,pp,undirected,0.943
YER102W,YDL061C,pp,undirected,0.943
YOR182C,YNL069C,pp,undirected,0.943
YOR287C,YKL099C,pp,undirected,0.982
YOR014W,YAL016W,pp,undirected,0.998
YNL067W,YGL135W,pp,undirected,0.943
YLR367W,YHR021C,pp,undirected,0.943
YGL076C,YOL039W,pp,undirected,0.943
YAL030W,YOL018C,pp,undirected,0.955
YCL054W,YOR272W,pp,undirected,0.989
YHR141C,YLR029C,pp,undirected,0.943
YOR361C,YIL133C,pp,undirected,0.952
